Date,Tesla Production,Real Output per Hour
2012Q3,321,104.503
2012Q4,2400,104.059
2013Q1,4900,104.304
2013Q2,5150,104.147
2013Q3,5500,104.57
2013Q4,6892,105.634
2014Q1,6457,104.782
2014Q2,7579,105.435
2014Q3,7785,106.53
2014Q4,9834,105.977
2015Q1,10030,106.762
2015Q2,11507,107.112
2015Q3,11580,107.429
2015Q4,17478,106.697
2016Q1,14820,106.415
2016Q2,18345,106.668
2016Q3,24500,107.305
2016Q4,22200,107.618
2017Q1,25000,107.683
2017Q2,22000,108.142
2017Q3,26150,108.849
2017Q4,29870,108.943
2018Q1,29980,109.05
